,open,close,high,low,volume,money
2016-11-17,5676.58,5685.68,5692.2,5652.64,2496502100.0,28764245328.0
2016-11-18,5671.16,5648.54,5676.53,5640.6,2336425700.0,27098821071.0
2016-11-21,5637.7,5708.79,5745.35,5636.19,3069681500.0,36374016233.0
2016-11-22,5708.28,5758.67,5767.58,5708.28,3858689700.0,43073304664.0
2016-11-23,5764.97,5778.85,5831.32,5757.88,4237541300.0,43206916244.0
2016-11-24,5770.64,5801.36,5841.77,5764.88,3549511800.0,41027344122.0
2016-11-25,5802.19,5864.14,5864.24,5766.39,3838215500.0,40839973501.0
2016-11-28,5896.01,5842.65,5930.2,5835.49,4950004600.0,50966285124.0
2016-11-29,5829.6,5860.48,5880.96,5811.28,3949038500.0,45003662260.0
2016-11-30,5853.57,5804.4,5871.62,5783.79,3555637600.0,40958739751.0
2016-12-01,5806.23,5828.19,5861.75,5795.82,3185113700.0,35448167924.0
2016-12-02,5827.21,5786.44,5827.21,5742.58,3826043100.0,41299971304.0
2016-12-05,5723.79,5731.04,5754.75,5682.72,3800032000.0,40032946633.0
2016-12-06,5722.3,5707.91,5746.02,5705.84,2349737300.0,24802572486.0
2016-12-07,5704.86,5720.18,5722.86,5686.76,1884192100.0,20496823467.0
2016-12-08,5729.99,5729.0,5751.63,5709.32,2233810900.0,23155499972.0
2016-12-09,5721.46,5799.12,5833.77,5719.31,4098943600.0,38363696115.0
2016-12-12,5800.42,5751.3,5850.7,5700.15,5073809400.0,51186852544.0
2016-12-13,5721.33,5701.77,5732.21,5680.76,2508471700.0,24409631487.0
2016-12-14,5699.14,5692.3,5747.86,5690.47,2462533700.0,25350650327.0
2016-12-15,5662.2,5558.49,5677.25,5544.86,3010848600.0,30606094855.0
2016-12-16,5552.09,5534.93,5577.49,5528.84,2074028100.0,20636448906.0
2016-12-19,5527.32,5506.99,5528.45,5498.97,1466953100.0,15422892855.0
2016-12-20,5510.57,5469.18,5512.55,5432.67,2020807800.0,20804567556.0
2016-12-21,5473.26,5493.79,5512.55,5473.23,1891228000.0,20482391283.0
2016-12-22,5488.34,5468.51,5489.26,5448.39,1219629800.0,13242262729.0
2016-12-23,5463.83,5430.14,5463.92,5411.77,1359392500.0,14571169058.0
2016-12-26,5404.36,5464.82,5467.47,5370.8,1621578100.0,17488721542.0
2016-12-27,5455.77,5445.98,5473.73,5444.17,1056481200.0,11409104227.0
2016-12-28,5444.43,5431.29,5452.91,5411.52,1199270400.0,12485559048.0
2016-12-29,5422.84,5421.22,5441.98,5412.55,1279557400.0,13026274288.0
2016-12-30,5425.91,5458.51,5459.24,5420.08,1447330000.0,14169055727.0
2017-01-03,5458.97,5516.81,5525.92,5458.97,1936744800.0,19682718839.0
2017-01-04,5510.91,5530.04,5539.4,5504.04,1687875600.0,17125551052.0
2017-01-05,5534.68,5521.91,5542.36,5520.33,1313260300.0,13751520276.0
2017-01-06,5522.01,5477.87,5526.52,5475.89,1394266100.0,14497467243.0
2017-01-09,5481.58,5495.28,5509.2,5475.26,1272290100.0,12877366608.0
2017-01-10,5492.5,5487.34,5503.43,5480.03,1110283900.0,10912601572.0
2017-01-11,5489.75,5472.22,5508.68,5470.63,1245835800.0,12664887962.0
2017-01-12,5473.34,5468.42,5497.61,5464.23,1121258200.0,11931298657.0
2017-01-13,5464.84,5504.68,5527.06,5459.32,1769139500.0,18501707650.0
2017-01-16,5494.44,5559.26,5574.11,5453.15,4240288500.0,42116118394.0
2017-01-17,5531.33,5534.32,5547.82,5510.58,1313443300.0,14137246960.0
2017-01-18,5533.64,5554.41,5570.6,5526.44,1317762800.0,13288866234.0
2017-01-19,5539.41,5544.64,5576.26,5535.32,1572065100.0,14208419445.0
2017-01-20,5539.53,5575.53,5584.78,5537.58,1682933100.0,16624970770.0
2017-01-23,5580.79,5571.6,5600.68,5560.0,1438556800.0,14612907706.0
2017-01-24,5574.03,5588.21,5599.98,5567.52,1512410700.0,13759450642.0
2017-01-25,5582.91,5597.28,5599.37,5573.4,1172573500.0,12534960496.0
2017-01-26,5601.34,5622.67,5645.62,5601.26,1425693300.0,14120101724.0
2017-02-03,5630.91,5554.77,5633.31,5552.78,1095316700.0,12682194895.0
2017-02-06,5571.51,5562.47,5578.5,5546.57,1381698500.0,16042323771.0
2017-02-07,5561.32,5552.15,5569.68,5537.15,1311019600.0,14669225402.0
2017-02-08,5545.4,5582.46,5585.41,5521.48,1796085000.0,20975810969.0
2017-02-09,5575.96,5589.5,5618.39,5570.9,1837586200.0,21748494486.0
